Category,Key,English,Bulgarian,Notes
,HERCULE PAVISE2,The Buckler did it!,The Buckler did it!,
,HONEYSUCKLE,HONEYSUCKLE,HONEYSUCKLE,
,IRON HELMET,IRON HELMET,IRON HELMET,
,JACK CLEAVER,JACK CLEAVER,JACK CLEAVER,
,JADE AXE,JADE AXE,JADE AXE,
,JAGGED BLADE,JAGGED BLADE,JAGGED BLADE,
,KEG,KEG,KEG,
,KEY SWORD,KEY SWORD,KEY SWORD,
,KEY SWORD2,Unlocks your potential as a warrior!,Unlocks your potential as a warrior!,
,KING CLEAVER,KING CLEAVER,KING CLEAVER,
,KNIGHT'S ARMOR,KNIGHT'S ARMOR,KNIGHT'S ARMOR,
,KNIGHT'S SHIELD,KNIGHT'S SHIELD,KNIGHT'S SHIELD,
,LARGE HEART RING,LARGE HEART RING,LARGE HEART RING,
,LEATHER BOOTS,LEATHER BOOTS,LEATHER BOOTS,
,LEATHER CAP,LEATHER CAP,LEATHER CAP,
,LEFT GAUNTLET,LEFT GAUNTLET,LEFT GAUNTLET,
,LEFT GLOVE,LEFT GLOVE,LEFT GLOVE,
,LETTER,LETTER,LETTER,
,LI'L BUCKLER,LI'L BUCKLER,LI'L BUCKLER,
,LI'L BUCKLER2,A little shield with sass and pep!,A little shield with sass and pep!,
,LIGHTNING,LIGHTNING,LIGHTNING,
,LIQUID ARMOR,LIQUID ARMOR,LIQUID ARMOR,
,LIQUID LUCK,LIQUID LUCK,LIQUID LUCK,
,LIZARD KING SWORD,LIZARD KING SWORD,LIZARD KING SWORD,
,LONGBOW,LONGBOW,LONGBOW,
,LUCKY DAGGER,LUCKY DAGGER,LUCKY DAGGER,
,LUCKY DAGGER2,Lucky for you - not for them,Lucky for you - not for them,
,LUCKY RING,LUCKY RING,LUCKY RING,
,MACE,MACE,MACE,
,MACHETE,MACHETE,MACHETE,
,MAGICAL HERB,MAGICAL HERB,MAGICAL HERB,
,MANASTONE BOW,MANASTONE BOW,MANASTONE BOW,
,MEAL,MEAL,MEAL,
,METALLIC WAND,METALLIC WAND,METALLIC WAND,
,METALLIC WAND2,A static feeling runs through the pads of your paw,A static feeling runs through the pads of your paw,
,MIRROR SHIELD,MIRROR SHIELD,MIRROR SHIELD,
,MOUSE BOW,MOUSE BOW,MOUSE BOW,
,MY FIRST WAND,MY FIRST WAND,MY FIRST WAND,
,MY FIRST WAND2,Teaches kids the basics of magic!,Teaches kids the basics of magic!,
,NECRONOMICON,NECRONOMICON,NECRONOMICON,
,NECRONOMICON2,The book is bound in fur!,The book is bound in fur!,
,NEEDLER,NEEDLER,NEEDLER,
,NINJA COSTUME,NINJA COSTUME,NINJA COSTUME,
,NUNCHUCKS,NUNCHUCKS,NUNCHUCKS,
,NUNCHUCKS2,Make sure you have space to use them!,Make sure you have space to use them!,
,OLD LOG,OLD LOG,OLD LOG,
,ORKSORK AX,ORKSORK AX,ORKSORK AX,
,ORKSORK AX2,The axe of an elder-god,The axe of an elder-god,
,PACIFIST'S RING,PACIFIST'S RING,PACIFIST'S RING,
,PALADIN'S SWORD,PALADIN'S SWORD,PALADIN'S SWORD,
,PEARL,PEARL,PEARL,
,PERIDOT,PERIDOT,PERIDOT,
,PHILOSOPHER'S STONE,PHILOSOPHER'S STONE,PHILOSOPHER'S STONE,
,PICK AXE,PICK AXE,PICK AXE,
,PIGGYBANK,PIGGYBANK,PIGGYBANK,
,PIGGYBANK2,Free money! And it smells like bacon!,Free money! And it smells like bacon!,
,PLATE ARMOR,PLATE ARMOR,PLATE ARMOR,
,POISON ARROW,POISON ARROW,POISON ARROW,
,POISON IVY,POISON IVY,POISON IVY,
,POISON POTION,POISON POTION,POISON POTION,
,POISON WHETSTONE,POISON WHETSTONE,POISON WHETSTONE,
,POTTED ALOE,POTTED ALOE,POTTED ALOE,
,PRETTY ANKLET,PRETTY ANKLET,PRETTY ANKLET,
,QUEEN CLEAVER,QUEEN CLEAVER,QUEEN CLEAVER,
,RARE HERB,RARE HERB,RARE HERB,
,RED HOODIE,RED HOODIE,RED HOODIE,
,RED HOODIE2,A leftover from before Orderia?  The spiders that spun this thread must have been strange indeed!,A leftover from before Orderia?  The spiders that spun this thread must have been strange indeed!,
,REGEN POTION,REGEN POTION,REGEN POTION,
,REGENERATIVE WHETSTONE,REGENERATIVE WHETSTONE,REGENERATIVE WHETSTONE,
,RIGHT GAUNTLET,RIGHT GAUNTLET,RIGHT GAUNTLET,
,RIGHT GLOVE,RIGHT GLOVE,RIGHT GLOVE,
,RING OF DOOM,RING OF DOOM,RING OF DOOM,
,RING OF RAGE,RING OF RAGE,RING OF RAGE,
,ROCKET,ROCKET,ROCKET,
,ROGUE'S MASK,ROGUE'S MASK,ROGUE'S MASK,
,ROOF,ROOF,ROOF,
,ROSE OF THORNS,ROSE OF THORNS,ROSE OF THORNS,
,ROSE OF THORNS2,"Every rose has its thorns, especially this one","Every rose has its thorns, especially this one",
,ROUGH BUCKLER,ROUGH BUCKLER,ROUGH BUCKLER,
,RUBY,RUBY,RUBY,
,SCIMITAR,SCIMITAR,SCIMITAR,
,SEASONING,SEASONING,SEASONING,
,SHIV,SHIV,SHIV,
,SHORT ARROW,SHORT ARROW,SHORT ARROW,
,SKULL WAND,SKULL WAND,SKULL WAND,
,SLATS SHIELD,SLATS SHIELD,SLATS SHIELD,
,SLIME SWORD,SLIME SWORD,SLIME SWORD,
,SMALL KEY,SMALL KEY,SMALL KEY,
,SMELT,SMELT,SMELT,
,SOLDIER'S BUCKLER,SOLDIER'S BUCKLER,SOLDIER'S BUCKLER,
,SPAGHETTI,SPAGHETTI,SPAGHETTI,
,SPAGHETTI2,"spaghetti, spaghetti, my backpack is ready","spaghetti, spaghetti, my backpack is ready",
,SPEEDY LEAF,SPEEDY LEAF,SPEEDY LEAF,
,SPIKED HELMET,SPIKED HELMET,SPIKED HELMET,
,SPIKED SCALE,SPIKED SCALE,SPIKED SCALE,
,SPIKY CLUB,SPIKY CLUB,SPIKY CLUB,
,SPLINT,SPLINT,SPLINT,
,STAR POTION,STAR POTION,STAR POTION,
,STEAK,STEAK,STEAK,
,STEAK2,This steak is so rich. You can only eat half at a time,This steak is so rich. You can only eat half at a time,
,STEEL BOOTS,STEEL BOOTS,STEEL BOOTS,
,TASTY FLY,TASTY FLY,TASTY FLY,
,TASTY FLY2,Rats don't eat flies,Rats don't eat flies,
,TEA,TEA,TEA,
,TEA2,Proper. Dignified. Perfectly balanced,Proper. Dignified. Perfectly balanced,
,TEDDY BEAR SWORD,TEDDY BEAR SWORD,TEDDY BEAR SWORD,
,TEDDY BEAR SWORD2,It's not a weapon. But there is a brick in the stuffing,It's not a weapon. But there is a brick in the stuffing,
,THREAD,THREAD,THREAD,
,TILTED SWORD,TILTED SWORD,TILTED SWORD,
,TOKEN OF ENERGY,TOKEN OF ENERGY,TOKEN OF ENERGY,
,TOOTH NECKLACE,TOOTH NECKLACE,TOOTH NECKLACE,
,TOWER SHIELD,TOWER SHIELD,TOWER SHIELD,
,TUNIC,TUNIC,TUNIC,
,VAMPIRE BLADE,VAMPIRE BLADE,VAMPIRE BLADE,
,VAMPIRIC AXE,VAMPIRIC AXE,VAMPIRIC AXE,
,VAMPIRIC CRYSTAL,VAMPIRIC CRYSTAL,VAMPIRIC CRYSTAL,
,VOLATILE POTION,VOLATILE POTION,VOLATILE POTION,
,WARM DRINK,WARM DRINK,WARM DRINK,
,WARRIOR'S SPELLBOOK,WARRIOR'S SPELLBOOK,WARRIOR'S SPELLBOOK,
,WARRIOR'S SPELLBOOK2,For the warrior on the go!,For the warrior on the go!,
,WATER FLASK,WATER FLASK,WATER FLASK,
,WHEEL,WHEEL,WHEEL,
,WHETSTONE,WHETSTONE,WHETSTONE,
,WIZARD CAP,WIZARD CAP,WIZARD CAP,
,WIZARD STAFF,WIZARD STAFF,WIZARD STAFF,
,WIZARD'S ROBE,WIZARD'S ROBE,WIZARD'S ROBE,
,WOODEN SWORD,WOODEN SWORD,WOODEN SWORD,
,ROBOT TOY,ROBOT TOY,ROBOT TOY,
,ROBOT TOY2,I think it's broken!,I think it's broken!,
,RAPIER,RAPIER,RAPIER,
,RAPIER2,Live life on the edge ,Live life on the edge ,
,BIG CURSE,BIG CURSE,BIG CURSE,
,CURSE OF HONEY,CURSE OF HONEY,CURSE OF HONEY,
,CURSE OF POISON,CURSE OF POISON,CURSE OF POISON,
,CURSE OF POISON WEAPONS,CURSE OF POISON WEAPONS,CURSE OF POISON WEAPONS,
,CURSE OF SLIME,CURSE OF SLIME,CURSE OF SLIME,
,CURSE OF SLOW,CURSE OF SLOW,CURSE OF SLOW,
,CURSE OF SPIKES,CURSE OF SPIKES,CURSE OF SPIKES,
,CURSE OF THORNS,CURSE OF THORNS,CURSE OF THORNS,
,CURSE OF WEAKNESS,CURSE OF WEAKNESS,CURSE OF WEAKNESS,
,MEDIUM CURSE,MEDIUM CURSE,MEDIUM CURSE,
,SMALL CURSE,SMALL CURSE,SMALL CURSE,
,BELT OF KNIVES,BELT OF KNIVES,BELT OF KNIVES,
,BARBELL,BARBELL,BARBELL,
,BOMBSTONE,BOMBSTONE,BOMBSTONE,
,CLEANSING FLAME,CLEANSING FLAME,CLEANSING FLAME,
,CONDUCTOR,CONDUCTOR,CONDUCTOR,
,CORAL,CORAL,CORAL,
,FLUFFY COTTON,FLUFFY COTTON,FLUFFY COTTON,
,GLASS BOTTLE,GLASS BOTTLE,GLASS BOTTLE,
,HOURGLASS,HOURGLASS,HOURGLASS,
,MOUSE WOOD,MOUSE WOOD,MOUSE WOOD,
,ORE,ORE,ORE,
,SANDWICH,SANDWICH,SANDWICH,
,SHIELD SPIRIT,SHIELD SPIRIT,SHIELD SPIRIT,
,SPICE,SPICE,SPICE,
,SPICY GINGER,SPICY GINGER,SPICY GINGER,
,STOPWATCH,STOPWATCH,STOPWATCH,
,TUSK,TUSK,TUSK,
,WINDMILL,WINDMILL,WINDMILL,
,FROG TOTEM,FROG TOTEM,FROG TOTEM,
,ETHEREAL BLADE,ETHEREAL BLADE,ETHEREAL BLADE,
,ETHEREAL BLADE2,A sword that was too good for this world. We have to share it between dimensions,A sword that was too good for this world. We have to share it between dimensions,
,ETHEREAL ENERGY,ETHEREAL ENERGY,ETHEREAL ENERGY,
,ETHEREAL SHIV,ETHEREAL SHIV,ETHEREAL SHIV,
,FOX RAPIER,FOX RAPIER,FOX RAPIER,
,FOX RAPIER2,Foxes can't be trusted,Foxes can't be trusted,
,,,,
,GOLD2,The root of all evil. But also very shiny,The root of all evil. But also very shiny,
,HUGE MANA STONE,HUGE MANA STONE,HUGE MANA STONE,
,LARGE MANA STONE,LARGE MANA STONE,LARGE MANA STONE,
,MANA STONE,MANA STONE,MANA STONE,
,ETHEREAL ARROW,ETHEREAL ARROW,ETHEREAL ARROW,
,Sliding Rune,Sliding Rune,Sliding Rune,
,Sliding Rune2,Can slide left or right. Will push adjacent items. Can be rotated before it is placed. Can be used once per combat.,Can slide left or right. Will push adjacent items. Can be rotated before it is placed. Can be used once per combat.,
